work_id,author_id,author_name,institutions,author_position,is_corresponding
W4410325695,A5100757027,Kai‐Li Wang,Nanjing University of Posts and Telecommunications,middle,False
W4410325695,A5102962655,Chee Leong Tan,Nanjing University of Posts and Telecommunications,middle,False
W4410325695,A5051477738,Yi Fang Shi,Nanjing University,middle,True
W4410325695,A5013940025,Shancheng Yan,Nanjing University of Posts and Telecommunications,last,True
W4403632046,A5113312338,Jianyong Pan,University of Jinan,first,False
W4403632046,A5089516092,Hao Kan,University of Jinan,middle,False
W4403632046,A5103564109,Zhaorui Liu,University of Jinan,middle,False
W4403632046,A5036720538,Song Gao,University of Jinan,middle,False
W4403632046,A5011451817,Enxiu Wu,State Key Laboratory of Transducer Technology; Shanghai Institute of Microsystem and Information Technology,middle,True
W4403632046,A5100421251,Yang Li,Shandong University; University of Jinan,middle,False
W4403632046,A5101845271,Chunwei Zhang,University of Jinan,last,False
W4392214558,A5068413580,Giulio Galderisi,NaMLab (Germany); Technische Universität Dresden,first,True
W4392214558,A5003850300,Thomas Mikolajick,NaMLab (Germany); Technische Universität Dresden,middle,False
W4392214558,A5003486126,Jens Trommer,NaMLab (Germany),last,False
W4386349574,A5063782322,Zhiying Qi,Beijing Institute of Technology; Beijing Haidian Hospital,first,False
W4386349574,A5101239881,Linjie Mi,Beijing Institute of Technology; Beijing Haidian Hospital,middle,False
W4386349574,A5113239506,Haoran Qian,Fudan University,middle,False
W4386349574,A5101658368,Weiguo Zheng,Fudan University,middle,False
W4386349574,A5048797612,Yao Guo,Beijing Institute of Technology; Beijing Haidian Hospital,middle,True
W4386349574,A5011166102,Yang Chai,Hong Kong Polytechnic University,last,True
W3191754683,A5051127720,Jing‐Kai Qin,Hong Kong Polytechnic University; Harbin Institute of Technology,first,False
W3191754683,A5036614573,Cong Wang,Hong Kong Polytechnic University,middle,False
W3191754683,A5087380619,Liang Zhen,Harbin Institute of Technology,middle,False
W3191754683,A5067948521,Lain‐Jong Li,University of Hong Kong,middle,False
